Tên nhóm hàng,Tên NPP,KM GPS có hàng,Thời gian vận chuyển (giờ)
"RE Sugar (IM), RS Sugar","CÔNG TY CỔ PHẦN GIA NHẤT HB, CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI SBT",174.2701856,1473.2666666666667
RS Sugar,CÔNG TY TNHH MỘT THÀNH VIÊN CÔNG NGHIỆP MASAN,508.8736489,1479.9666666666667
"RS Sugar, RE Sugar",,30.24648324,732.0833333333334
Brown Sugar,CÔNG TY AJINOMOTO VIỆT NAM,18.17434978,14.333333333333334
RE Sugar,CÔNG TY TNHH FRIESLANDCAMPINA VIỆT NAM,442.0844755,729.4166666666666
RE Sugar,CÔNG TY CỔ PHẦN THỰC PHẨM VÀ NƯỚC GIẢI KHÁT NAM VIỆT,48.4809437,15.483333333333333
RE Sugar,CÔNG TY CỔ PHẦN VINACAFÉ BIÊN HÒA,48.16660364,15.7
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,427.7393957,728.6
RE Sugar,CÔNG TY TNHH URC VIỆT NAM,108.0902116,730.6666666666666
RE Sugar,CÔNG TY TNHH URC VIỆT NAM,97.28918348,734.0
RE Sugar,CÔNG TY TNHH URC VIỆT NAM,95.42192177,730.4833333333333
RS Sugar,,0.280410799,4.0
RS Sugar,,0.472096742,4.0
RE Sugar,,1110.362599,-1928.3666666666666
RE Sugar,,974.8705593,-1928.3833333333334
"Juice, Sugarcane Drinking Water, Functional Sugar, RE Sugar, Brown Sugar, Coconut Cooking Cream, Monorock",CÔNG TY TNHH PHÚ PHONG.BH,48.36896164,7.816666666666666
RE Sugar,TRUNG TÂM PHÂN PHỐI SATRA,16.46181328,2.45
"RE Sugar, Monorock, Sugarcane Drinking Water, Brown Sugar, RS Sugar",CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HUY HÀ FOODS,19.38726649,2.9
"RS Sugar, Mineral water, Drinking Water","CÔNG TY CỔ PHẦN DU LỊCH THANH BÌNH, CÔNG TY TNHH ĐẦU TƯ TRƯỜNG LƯU PHÚC",36.26011203,5.05
RE Sugar,CÔNG TY AJINOMOTO VIỆT NAM,115.865636,723.05
RS Sugar,CÔNG TY TNHH MTV MASAN HG,784.1080045,-2753.633333333333
"RE Sugar, Juice, Diet Sugar, Monorock, Brown Sugar, RS Sugar, Coconut Cooking Cream",CÔNG TY TNHH DẦU ĂN NGUYÊN PHÁT,12.56843198,16.283333333333335
"Functional Sugar, Coconut Cooking Cream, Juice, Monorock, Caramelized, RS Sugar",CÔNG TY TNHH PHÂN PHỐI THƯƠNG MẠI THÁI TUẤN,45.24000843,754.8833333333333
"RS Sugar, Brown Sugar, Juice, RE Sugar, Natural Rock, Coconut Cooking Cream","CÔNG TY TNHH THỰC PHẨM & ĐỒ UỐNG AN PHÁT, CÔNG TY TNHH CỬA HÀNG TIỆN LỢI GIA ĐÌNH VIỆT NAM",23.45633923,11.883333333333333
"Caramelized, RE Sugar, Brown Sugar, Functional Sugar, Organic Sugar, RS Sugar, Monorock, Invert Syrup, Natural Rock",CÔNG TY TNHH DỊCH VỤ EB,1340.13995,-2557.516666666667
RS Sugar,CHI NHÁNH CÔNG TY CỔ PHẦN SỮA QUỐC TẾ LOF - NHÀ MÁY SỮA LOF HÀ NỘI,1325.535546,-2680.0333333333333
RE Sugar,,404.1810213,765.2666666666667
RE Sugar,,433.487702,-2721.4333333333334
RE Sugar,CÔNG TY TNHH BÁNH VÀNG,48.12373483,756.3333333333334
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,296.7917442,753.6333333333333
RS Sugar,"CÔNG TY TNHH CJ FOODS VIỆT NAM - CHI NHÁNH LONG AN, CÔNG TY TNHH KINH LÂM",56.31647748,752.65
RE Sugar (IM),CÔNG TY CỔ PHẦN THỰC PHẨM QUỐC TẾ,175.9522303,752.3833333333333
RE Sugar,CÔNG TY CỔ PHẦN CHẾ BIẾN DỪA Á CHÂU,565.9287322,1478.6
RS Sugar,CÔNG TY TNHH TRẦN QUANG VIỆT NAM,1226.800237,1481.55
RE Sugar,CÔNG TY TNHH URC VIỆT NAM,68.00902167,755.0333333333333
"RS Sugar, Brown Sugar, Functional Sugar, Natural Rock, Invert Syrup, Caramelized",LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HCM,451.5132732,-2678.9333333333334
"Organic Sugar, Brown Sugar",LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HCM,42.99007053,752.2
"RE Sugar, RS Sugar",LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HCM,26.00929735,752.0
"RS Sugar, RE Sugar, Monorock, Functional Sugar, Brown Sugar","CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM), LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HCM",24.22483796,753.0333333333333
RE Sugar,CHI NHÁNH CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM TẠI TỈNH BẮC NINH,1030.870555,755.3
RS Sugar,CÔNG TY TNHH THỰC PHẨM ORION VINA,655.3443066,763.0666666666667
RS Sugar,CHI NHÁNH CÔNG TY CỔ PHẦN SỮA QUỐC TẾ LOF - NHÀ MÁY SỮA LOF HÀ NỘI,1307.475509,-2680.0333333333333
RE Sugar,CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN NƯỚC GIẢI KHÁT COCA-COLA VIỆT NAM TẠI TỈNH LONG AN,124.5648065,753.6166666666667
RE Sugar,CÔNG TY AJINOMOTO VIỆT NAM,127.3892981,754.35
RE Sugar,CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN TRUNG NGUYÊN - NHÀ MÁY CÀ PHÊ SÀI GÒN,1644.905467,-2749.9
"Dextrose, RS Sugar",CÔNG TY CỔ PHẦN BÁNH KẸO TRÀNG AN 2 - VIỆT NAM,5372.960909,755.0833333333334
RE Sugar,CÔNG TY CỔ PHẦN VINACAFÉ BIÊN HÒA,96.93498069,1479.0166666666667
RE Sugar,CÔNG TY TNHH FRIESLANDCAMPINA VIỆT NAM,1484.765261,1472.1833333333334
RE Sugar,,424.1636167,-2650.133333333333
RE Sugar,,430.5656631,-2654.5333333333333
RE Sugar,CÔNG TY TNHH FRIESLANDCAMPINA HÀ NAM,0.049215795,1.0
RE Sugar,HỘ KINH DOANH NHƯ LAN,27.92466318,3.6
RE Sugar,CÔNG TY TNHH TIÊN PHONG 365,68.86933156,743.8333333333334
"Caramelized, Coconut Cooking Cream, Monorock, Brown Sugar, Functional Sugar, RS Sugar, Juice",CÔNG TY TNHH QUỐC HƯNG THỊNH BẢO LỘC,391.1691856,747.0666666666667
"Bar Sugar, Natural Rock",CÔNG TY CP THỰC PHẨM DINH DƯỠNG NUTRINEST,16.75775622,3.3
"Organic Sugar, Brown Sugar, RS Sugar, Functional Sugar, RE Sugar, Invert Syrup, Diet Sugar","CÔNG TY TNHH DỊCH VỤ EB, CÔNG TY TNHH PETER NGUYỄN",48.2074468,6.433333333333334
RE Sugar,CÔNG TY TNHH PETER NGUYỄN,51.4149311,6.783333333333333
"Monorock, RE Sugar, Functional Sugar, RS Sugar, Caramelized",CÔNG TY TNHH VIÊN GIA BẢO,33.37810441,5.3
RE Sugar,CÔNG TY TNHH PERFETTI VAN MELLE( VIỆT NAM),29.65638017,743.4
RE Sugar,LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HCM,14.32302218,739.6
RE Sugar,CÔNG TY CỔ PHẦN THỰC PHẨM CHOLIMEX,94.20002372,739.1333333333333
RS Sugar,CÔNG TY CỔ PHẦN VINACAFÉ BIÊN HÒA,4.839575937,739.1333333333333
RE Sugar,CÔNG TY TNHH RED BULL (VIỆT NAM),114.0038597,730.55
RE Sugar (IM),CÔNG TY CỔ PHẦN THỰC PHẨM VÀ NƯỚC GIẢI KHÁT PTT,1175.783137,-3346.866666666667
RS Sugar,CÔNG TY CỔ PHẦN MASAN JINJU,11.11071559,9.8
RE Sugar,CÔNG TY CỔ PHẦN MONDELEZ KINH ĐÔ VIỆT NAM,440.3107544,730.9833333333333
"Juice, Functional Sugar, RS Sugar, RE Sugar, Monorock","CÔNG TY TNHH DỊCH VỤ EB, CÔNG TY TNHH BÁN LẺ VÀ SIÊU THỊ VIỆT NAM",15.08463703,10.766666666666667
RE Sugar,CÔNG TY AJINOMOTO VIỆT NAM,172.94377,736.2833333333333
RE Sugar,CÔNG TY CỔ PHẦN VINACAFÉ BIÊN HÒA,64.53046448,735.0333333333333
Invert Syrup,CÔNG TY CỔ PHẦN DỊCH VỤ CÀ PHÊ CAO NGUYÊN,20.60191867,16.75
RE Sugar,CÔNG TY TNHH URC VIỆT NAM,96.25051222,730.9666666666667
"Coconut Cooking Cream, Juice",,124.1104731,734.4
RS Sugar,CÔNG TY TNHH THỰC PHẨM ORION VINA,655.9172732,-3491.95
RE Sugar,CÔNG TY CỔ PHẦN ACECOOK VIỆT NAM,452.9074675,729.65
"Juice, Functional Sugar, Organic Sugar, Brown Sugar, RE Sugar, Monorock, Natural Rock, RS Sugar, Coconut Cooking Cream, Sugarcane Drinking Water","CÔNG TY TNHH THISO RETAIL, LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HCM",48.74747731,12.85
"RE Sugar, Coconut Cooking Cream, Caramelized, Bar Sugar, Juice, Brown Sugar, Monorock, RS Sugar, Sugarcane Drinking Water, Functional Sugar","CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ PHƯƠNG UYÊN, CÔNG TY TNHH TRƯỜNG AN PHÚ LONG",4118.885422,-7260.883333333333
RE Sugar,CÔNG TY CỔ PHẦN ACECOOK VIỆT NAM,4187.80153,-3201.25
RE Sugar,CÔNG TY TNHH MTV MASAN HG,244.5217291,732.9833333333333
"RE Sugar, RS Sugar","CÔNG TY TNHH THISO RETAIL, CÔNG TY TNHH CJ CGV VIỆT NAM - CHI NHÁNH BÌNH THẠNH 2",30.96594331,11.716666666666667
"Brown Sugar, RE Sugar (IM)","CÔNG TY TNHH SÔNG HỒNG TÂN, CÔNG TY TRÁCH NHIỆM HỮU HẠN ZER-MAT",30.10986454,12.683333333333334
"RS Sugar, RE Sugar, Functional Sugar, Juice, Coconut Cooking Cream, Brown Sugar, Monorock",CÔNG TY TNHH HỮU ĐOÀN,9.125912335,11.15
RE Sugar,CÔNG TY CỔ PHẦN THỰC PHẨM VÀ NƯỚC GIẢI KHÁT NAM VIỆT,50.55732308,14.866666666666667
RE Sugar,CÔNG TY TNHH MỘT THÀNH VIÊN THỰC PHẨM Á CHÂU III,69.36324422,722.85
RS Sugar,CÔNG TY TNHH THỰC PHẨM QUỐC TẾ NAM DƯƠNG,452.8095491,-3489.233333333333
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,398.2461655,728.9666666666667
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,423.7700522,730.1833333333333
RS Sugar,CÔNG TY TNHH TRẦN QUANG VIỆT NAM,456.8964385,-3493.95
"Juice, RS Sugar, Brown Sugar, Monorock",CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI TOÀN ĐỨC,284.4227596,-3481.366666666667
"Natural Rock, Functional Sugar, RE Sugar, Caramelized, Diet Sugar, Organic Sugar",CÔNG TY CỔ PHẦN TRUNG TÂM THƯƠNG MẠI LOTTE VIỆT NAM,33.95297699,6.783333333333333
"RE Sugar, Sugarcane Drinking Water, Miaqua Water, Coconut Cooking Cream, Brown Sugar","CÔNG TY CỔ PHẦN TRUNG TÂM THƯƠNG MẠI LOTTE VIỆT NAM, CÔNG TY CỔ PHẦN GIAO DỊCH HÀNG HÓA SƠN TÍN",43.24962211,6.716666666666667
RE Sugar,HỘ KINH DOANH NHƯ LAN,24.05588866,1.8666666666666667
"Brown Sugar, RS Sugar",CÔNG TY CỐ PHẦN THỰC PHẨM CHOLIMEX,62.88848243,3.8333333333333335
"Juice, Functional Sugar, Natural Rock, RE Sugar, Monorock, Brown Sugar, Diet Sugar, Invert Syrup, Bar Sugar, Organic Sugar","LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HCM, CÔNG TY CỔ PHẦN TRUNG TÂM THƯƠNG MẠI LOTTE VIỆT NAM - CHI NHÁNH ĐỒNG NAI",68.41195068,716.3
RE Sugar,CÔNG TY TNHH URC VIỆT NAM,113.2929808,725.3333333333334
"Bar Sugar, Caramelized, Organic Sugar, Functional Sugar, Monorock, Brown Sugar, Coconut Cooking Cream, RE Sugar, Invert Syrup, Diet Sugar, RS Sugar, Natural Rock","CÔNG TY CỔ PHẦN TRUNG TÂM THƯƠNG MẠI LOTTE VIỆT NAM - CHI NHÁNH NHA TRANG, CÔNG TY TNHH MINH TUYẾT NHA TRANG, CÔNG TY TNHH THƯƠNG MẠI MINH DƯỢC, CÔNG TY TNHH DV TM TỔNG HỢP NGUYÊN KHANG, CÔNG TY CỔ PHẦN PHIM THIÊN NGÂN, CHI NHÁNH NHA TRANG - CÔNG TY CỔ PHẦN CAFÉ KATINAT",401.4404436,-3479.55
"Brown Sugar, RE Sugar, Juice, Monorock, RS Sugar, Functional Sugar, Coconut Cooking Cream, Invert Syrup, Natural Rock, Organic Sugar","CHI NHÁNH CẦN THƠ - CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE, CÔNG TY TNHH DỊCH VỤ EB, CÔNG TY CỔ PHẦN TRUNG TÂM THƯƠNG MẠI LOTTE VIỆT NAM - CHI NHÁNH CẦN THƠ, CÔNG TY TNHH MTV SẢN XUẤT THƯƠNG MẠI VÀ DỊCH VỤ HỢP DUYÊN, CÔNG TY TNHH CJ CGV VIỆT NAM - CHI NHÁNH VĨNH LONG, LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HCM",1506.401858,-3928.3
RS Sugar,CÔNG TY TNHH MỘT THÀNH VIÊN CÔNG NGHIỆP MASAN,447.3955309,-4190.416666666667
RE Sugar,CÔNG TY TNHH RED BULL (VIỆT NAM),115.701807,-4212.85
"Juice, Coconut Cooking Cream, Functional Sugar, Caramelized, Brown Sugar, RE Sugar, RS Sugar, Monorock, Invert Syrup, Sugarcane Drinking Water","DOANH NGHIỆP TƯ NHÂN TÂM PHƯỢNG, CÔNG TY TNHH TM BẢO HÂN SA ĐÉC, DOANH NGHIỆP TƯ NHÂN HOÀNG PHÁT LONG XUYÊN",251.1778051,-4206.1
RS Sugar,CHI NHÁNH CÔNG TY CỔ PHẦN SỮA QUỐC TẾ LOF - NHÀ MÁY SỮA LOF BÌNH DƯƠNG,102.0643197,-4208.083333333333
"RE Sugar, Functional Sugar","CÔNG TY CỔ PHẦN THỰC PHẨM GN, CÔNG TY CỔ PHẦN THỰC PHẨM CÁT HẢI, CÔNG TY TNHH KINH LÂM",1181.817541,-4049.0
RS Sugar,"CÔNG TY CỔ PHẦN DH FOODS - CHI NHÁNH LONG AN, CHI NHÁNH CÔNG TY TNHH JOLLIBEE VIỆT NAM TẠI CẦN GIUỘC",55.68192549,-4209.483333333334
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,187.5980533,-4212.5
RS Sugar,CÔNG TY TNHH VI NA,1491.869482,-3953.4
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,434.9274944,-4213.533333333334
RE Sugar,CÔNG TY TNHH MTV MASAN HG,221.5325542,-4212.133333333333
RE Sugar,CÔNG TY CỔ PHẦN ĐƯỜNG VIỆT NAM,772.3700272,-4210.2
RE Sugar,CÔNG TY CỔ PHẦN ĐƯỜNG VIỆT NAM,478.8872231,-4210.816666666667
RE Sugar,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU BẾN TRE,157.2658044,-4209.716666666666
RE Sugar,CÔNG TY TNHH PERFETTI VAN MELLE( VIỆT NAM),106.3550704,-4212.6
RS Sugar,CÔNG TY TNHH TRẦN QUANG VIỆT NAM,921.5853457,-4214.166666666667
RE Sugar,CÔNG TY TNHH MTV MASAN HG,204.7977198,-4207.883333333333
"RS Sugar, RE Sugar","CÔNG TY TNHH MTV TMDV CHẾ BIẾN TP ĐỨC LINH, CÔNG TY TNHH SX & TM XUẤT NHẬP KHẨU GIŨA MỸ TIẾN",67.03849632,-4214.333333333333
"Juice, Natural Rock, Diet Sugar, RE Sugar, Brown Sugar, Organic Sugar, RS Sugar, Functional Sugar, Invert Syrup, Monorock",CÔNG TY TNHH DỊCH VỤ EB,62.09266151,7.716666666666667
"Brown Sugar, Juice, RE Sugar, RS Sugar, Functional Sugar, Organic Sugar, Natural Rock, Monorock, Diet Sugar, Invert Syrup, Coconut Cooking Cream","CÔNG TY CỔ PHẦN TRUNG TÂM THƯƠNG MẠI LOTTE VIỆT NAM - CHI NHÁNH BÌNH DƯƠNG, CÔNG TY TNHH DỊCH VỤ EB",69.44087853,-4227.85
"RE Sugar, Coconut Cooking Cream","HỘ KINH DOANH NHƯ LAN, NGƯỜI MUA KHÔNG CUNG CẤP THÔNG TIN",91.2022354,-4227.933333333333
"Functional Sugar, RE Sugar","CÔNG TY TNHH DỊCH VỤ EB, HỘ KINH DOANH NHƯ LAN",51.71640535,5.9
"Brown Sugar, RS Sugar, RE Sugar, Invert Syrup, Natural Rock, Organic Sugar",CÔNG TY TNHH DỊCH VỤ EB,40.42106218,5.55
RE Sugar,CÔNG TY TNHH VIÊN GIA BẢO,12.16318669,2.533333333333333
RS Sugar,CÔNG TY TNHH VIÊN GIA BẢO,23.37187586,6.933333333333334
"Juice, RE Sugar",CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM),47.01935609,-4231.333333333333
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,411.6090468,33.3
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,1536.867356,184.73333333333332
"Functional Sugar, Monorock, Juice, RE Sugar, RS Sugar, Organic Sugar, Coconut Cooking Cream, Brown Sugar, Natural Rock","CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU, LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HCM, CÔNG TY TNHH THISO RETAIL, TRUNG TÂM ĐIỀU HÀNH SATRAFOODS",89.38198147,116.55
RS Sugar,CÔNG TY TNHH DẦU ĂN NGUYÊN PHÁT,12.45940718,86.73333333333333
RE Sugar,CÔNG TY TNHH MỘT THÀNH VIÊN CÔNG NGHIỆP MASAN,107.6075151,86.0
Juice,CÔNG TY CỔ PHẦN DỊCH VỤ CÀ PHÊ CAO NGUYÊN,1643.620161,417.53333333333336
RE Sugar,CÔNG TY TNHH URC VIỆT NAM,95.15610955,37.65
RE Sugar,CÔNG TY TNHH URC VIỆT NAM,125.6609101,34.43333333333333
"Sugarcane Drinking Water, Juice, RS Sugar, Brown Sugar, Diet Sugar, RE Sugar",CÔNG TY TNHH DẦU ĂN NGUYÊN PHÁT,65.26763477,43.38333333333333
RE Sugar,CÔNG TY TNHH MTV MASAN HG,215.5134789,35.46666666666667
RS Sugar,CÔNG TY TNHH MỘT THÀNH VIÊN CÔNG NGHIỆP MASAN,404.5438986,34.88333333333333
"RE Sugar, RS Sugar","HỘ KINH DOANH KẸO LƯU LUYẾN, CÔNG TY TNHH MTV SẢN XUẤT THƯƠNG MẠI CHẾ BIẾN THỰC PHẨM VĨ HUY",85.49245949,33.88333333333333
RS Sugar,CÔNG TY TNHH SEMBA TOHKA VIỆT NAM,23.75408582,14.933333333333334
RE Sugar (EX),GLOBAL MIND AGRICULTURE PTE. LTD,130.9682773,10.416666666666666
RE Sugar (EX),GLOBAL MIND AGRICULTURE PTE. LTD,274.7059118,10.4
"Natural Rock, Organic Sugar",CÔNG TY CP THỰC PHẨM DINH DƯỠNG NUTRINEST,20.01898072,2.95
"RE Sugar, Coconut Cooking Cream, Juice, Monorock, Functional Sugar",,56.87147095,6.166666666666667
RS Sugar,"CÔNG TY TNHH DỊCH VỤ EB, CÔNG TY TNHH KAMEREO",52.46000844,5.65
"Monorock, Natural Rock, RS Sugar, RE Sugar","CÔNG TY TNHH KAMEREO, CÔNG TY CP THỰC PHẨM DINH DƯỠNG NUTRINEST, CÔNG TY TNHH CHẾ BIẾN THỰC PHẨM VIỆT Ý",67.50389341,5.65
"Juice, RE Sugar, RS Sugar, Natural Rock, Functional Sugar, Brown Sugar",CÔNG TY TNHH DỊCH VỤ EB,260.203692,23.566666666666666
"Juice, RS Sugar",CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM),31.33792497,7.7
RE Sugar,CÔNG TY TNHH BÁNH KẸO ART TANGO,37.29616344,6.55
RE Sugar,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI XUẤT NHẬP KHẨU NGỌC LIÊN,56.76992109,5.866666666666666
Juice,CÔNG TY TNHH MINH TUYẾT NHA TRANG,309.464335,23.566666666666666
RE Sugar,,3151.241275,278.75
RE Sugar,,430.1020825,67.61666666666666
RE Sugar,"CÔNG TY TNHH CHẾ BIẾN DỪA LƯƠNG QUỚI, CÔNG TY TRÁCH NHIỆM HỮU HẠN COVINA",557.9510534,56.68333333333333
RE Sugar,CÔNG TY TNHH MTV MASAN HG,224.5318328,58.56666666666667
RE Sugar,CÔNG TY TNHH CHẾ BIẾN DỪA LƯƠNG QUỚI,515.4688911,58.15
"RS Sugar, RE Sugar",CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM),21.31785154,16.516666666666666
RE Sugar,,716.8781001,63.7
"RS Sugar, Diet Sugar, Juice, Functional Sugar, Monorock, RE Sugar, Brown Sugar","DOANH NGHIỆP TƯ NHÂN KHANG AN, CHI NHÁNH CÔNG TY TNHH JOLLIBEE VIỆT NAM TẠI CẦN GIUỘC",167.5194643,63.0
"Monorock, Juice, RS Sugar",CÔNG TY TRÁCH NHIỆM HỮU HẠN TMDV XĂNG DẦU CHÂU THÀNH,98.08020168,7.0
"Organic Sugar, Functional Sugar, RS Sugar, Invert Syrup, Juice, Natural Rock, RE Sugar",CÔNG TY TNHH DỊCH VỤ EB,21.21336761,23.633333333333333
RS Sugar,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT DINH DƯỠNG THỰC PHẨM LFOOD,111.3060918,12.116666666666667
RE Sugar,CÔNG TY TNHH VIÊN GIA BẢO,16.82239833,3.8333333333333335
"RS Sugar, RE Sugar",CÔNG TY TNHH VIÊN GIA BẢO,13.36226262,3.816666666666667
"Plant-based Milk, Juice, Organic Sugar, RE Sugar, Functional Sugar, Natural Rock, RS Sugar, Invert Syrup, Monorock, Brown Sugar",CÔNG TY TNHH DỊCH VỤ EB,321.5178646,56.63333333333333
RE Sugar,CÔNG TY CỔ PHẦN ĐƯỜNG VIỆT NAM,456.4218014,33.13333333333333
RE Sugar,CÔNG TY CỔ PHẦN ĐƯỜNG VIỆT NAM,1378.731751,71.11666666666666
RE Sugar (IM),CÔNG TY TNHH THƯƠNG MẠI & SẢN XUẤT THỰC PHẨM MINH ĐỨC,58.2292507,49.7
RE Sugar,CÔNG TY CỔ PHẦN ĐƯỜNG VIỆT NAM,464.272886,32.333333333333336
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,401.342884,34.06666666666667
RE Sugar (EX),GLOBAL MIND AGRICULTURE PTE. LTD,160.1747928,28.25
RS Sugar,CÔNG TY TNHH MỘT THÀNH VIÊN CÔNG NGHIỆP MASAN,405.4149959,57.7
RE Sugar,CÔNG TY AJINOMOTO VIỆT NAM,141.5813971,34.083333333333336
RS Sugar,CÔNG TY TNHH URC VIỆT NAM,1790.07238,198.53333333333333
RE Sugar,CÔNG TY TNHH RED BULL (VIỆT NAM),114.0077636,32.65
RE Sugar,CÔNG TY CỔ PHẦN ACECOOK VIỆT NAM,450.8757871,33.68333333333333
